assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,16,0,18.7,457,0.1,0.1,0.0,2.23,2,0,4.1,22.0,90,0,0,0,0,0,266706,1,2,0,0.0,1,0,0,50,0,Aaron_Cresswell_457,1
0,0,14,0,65.8,457,0.21,0.26,0.05,1.36,1,0,8.1,14.6,90,0,0,0,0,0,320890,1,0,1,1.0,2,45044,23535,50,0,Aaron_Cresswell_457,1
0,0,6,0,38.8,457,0.33,0.38,0.05,1.71,2,0,6.7,10.2,90,0,0,0,0,0,307342,1,2,0,18.0,0,20572,39986,50,1,Aaron_Cresswell_457,1
0,0,26,1,5.8,457,0.01,0.06,0.05,0.49,0,0,2.8,13.8,90,0,0,0,0,0,257633,1,1,0,8.0,6,5437,58599,50,0,Aaron_Cresswell_457,1
0,0,16,0,1.5,457,0.01,0.01,0.0,0.44,1,0,2.9,27.0,71,0,0,0,0,0,239899,1,1,1,0.0,2,5184,26684,49,0,Aaron_Cresswell_457,1
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,207982,0,1,2,0.0,0,5180,38565,49,0,Aaron_Cresswell_457,0
0,0,13,0,31.8,457,0.09,0.13,0.04,0.36,1,0,5.3,11.0,90,0,0,0,0,0,193179,1,0,1,10.0,2,17465,10731,48,0,Aaron_Cresswell_457,1
0,0,21,1,12.1,457,0.01,0.01,0.0,0.74,0,0,2.8,15.8,90,0,0,0,0,0,208118,1,0,2,0.0,5,30963,13254,48,1,Aaron_Cresswell_457,1
0,0,20,0,42.8,457,0.12,0.12,0.0,0.7,1,0,6.9,24.2,90,0,0,0,0,0,250600,1,1,3,2.0,2,49989,10078,48,0,Aaron_Cresswell_457,1
0,1,19,0,47.9,457,0.36,0.36,0.0,0.45,1,0,7.1,21.0,90,0,0,0,0,0,267408,1,1,1,2.0,3,27263,11026,48,0,Aaron_Cresswell_457,1
0,0,23,0,30.9,457,0.18,0.18,0.0,1.73,1,0,5.8,27.2,90,0,0,0,0,0,248750,1,0,1,0.0,2,8141,16034,48,0,Aaron_Cresswell_457,1
0,2,33,1,59.6,457,0.18,0.21,0.03,0.39,0,0,10.5,28.0,90,0,0,0,0,0,278345,1,0,2,17.0,8,29127,11839,48,0,Aaron_Cresswell_457,1
0,0,15,0,16.5,457,0.06,0.06,0.0,1.24,1,0,3.4,15.4,90,0,0,0,0,0,273592,1,0,1,2.0,2,13737,18866,48,0,Aaron_Cresswell_457,1
0,0,12,0,15.0,457,0.1,0.1,0.0,1.02,2,0,2.4,9.0,90,0,0,0,0,0,298991,1,2,1,0.0,1,33820,11627,48,0,Aaron_Cresswell_457,1
0,0,19,0,59.3,457,0.21,0.21,0.0,1.78,2,0,8.0,20.6,90,0,0,0,0,0,287394,1,2,0,0.0,1,10497,21396,48,0,Aaron_Cresswell_457,1
0,0,7,0,4.8,457,0.01,0.01,0.0,2.1,3,0,1.5,9.8,90,0,0,0,0,0,177374,1,1,3,0.0,1,11886,122344,48,0,Aaron_Cresswell_457,1
0,0,17,0,16.6,457,0.06,0.09,0.03,1.63,2,0,3.5,17.4,90,0,0,0,0,0,187107,1,2,0,1.0,1,15630,7176,48,0,Aaron_Cresswell_457,1
0,0,3,0,0.6,457,0.0,0.0,0.0,0.67,1,0,0.3,2.6,22,0,0,0,0,0,184702,0,2,2,0.0,1,5862,8547,48,0,Aaron_Cresswell_457,1
0,0,15,0,10.4,457,0.1,0.13,0.03,0.84,1,0,3.2,16.2,90,0,0,0,0,0,177421,1,0,1,5.0,2,4256,11603,48,0,Aaron_Cresswell_457,1
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,180135,0,0,2,0.0,0,8114,6587,48,0,Aaron_Cresswell_457,0
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,167645,0,1,1,0.0,0,1825,14075,48,0,Aaron_Cresswell_457,0
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,162440,0,1,1,0.0,0,1493,7114,48,0,Aaron_Cresswell_457,0
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,152615,0,0,2,0.0,0,210,10122,47,0,Aaron_Cresswell_457,0
0,0,4,0,15.9,457,0.13,0.13,0.0,0.31,0,0,2.3,6.6,45,0,0,0,0,0,160381,0,0,4,0.0,1,7516,5162,47,0,Aaron_Cresswell_457,1
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,152451,0,0,4,0.0,0,1812,4921,47,0,Aaron_Cresswell_457,0
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,147846,0,1,1,0.0,0,720,5332,47,0,Aaron_Cresswell_457,0
0,0,3,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.1,1.0,2,0,0,0,0,0,149469,0,0,1,0.0,1,6024,2348,47,0,Aaron_Cresswell_457,1
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,149469,0,5,1,0.0,0,6024,2348,47,0,Aaron_Cresswell_457,0
