player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90
Aaron Cresswell,457,1,8,439,6,632.9,2.85,3.21,0.36,32.82,32,0,113.0,411.6,2235,0,0,0,0,0,204687.0,24,81.0,74,457672,564161,3,28,£5.0,£4.7,£-0.3,-106489,24.833333333333332,0.11476510067114094,0.12926174496644297,0.014496644295302013,1.3216107382550337,0.0,1.2885906040268458,0.0,0.04026845637583893,0.32214765100671144
Aaron Hickey,510,3,2,310,5,119.8,0.58,0.96,0.38,28.13,30,0,44.2,223.6,1918,0,0,0,0,0,33477.0,23,98.0,63,76845,77735,7,26,£5.0,£4.9,£-0.1,-890,21.31111111111111,0.02721584984358707,0.04504692387904067,0.017831074035453597,1.319968717413973,0.0,1.407716371220021,0.0,0.14077163712200208,0.09384775808133473
Aaron Ramsdale,15,0,9,664,14,0.0,0.02,0.02,0.0,42.31,43,0,76.2,761.4,3420,0,0,0,0,94,1273606.0,38,0.0,143,1794560,2095664,1,38,£5.0,£4.8,£-0.2,-301104,38.0,0.0005263157894736842,0.0005263157894736842,0.0,1.113421052631579,0.0,1.131578947368421,2.473684210526316,0.0,0.23684210526315788
Aaron Wan-Bissaka,341,0,3,308,8,221.9,0.91,2.1,1.1900000000000002,19.17,10,0,65.5,290.4,1432,0,0,0,0,0,81502.0,16,143.0,67,601062,236479,2,19,£4.5,£4.3,£-0.2,364583,15.911111111111111,0.057192737430167596,0.1319832402234637,0.0747905027932961,1.20481843575419,0.0,0.6284916201117319,0.0,0.0,0.18854748603351956
Abdoulaye Doucouré,185,2,10,263,4,261.2,1.52,4.13,2.61,32.1,27,5,80.3,315.8,1527,0,0,0,1,0,9925.0,17,229.0,76,40813,36905,6,25,£5.5,£5.3,£-0.2,3908,16.966666666666665,0.08958742632612968,0.24341846758349708,0.1538310412573674,1.8919449901768175,0.29469548133595286,1.5913555992141455,0.0,0.11787819253438116,0.5893909626719057
Adam Armstrong,408,1,3,161,1,148.8,0.75,2.98,2.23,24.77,24,2,55.6,142.0,1321,0,0,0,0,0,96519.0,14,275.0,54,262428,290974,2,30,£5.5,£5.3,£-0.2,-28546,14.677777777777777,0.05109765329295988,0.20302800908402727,0.15193035579106737,1.6875851627554883,0.13626040878122636,1.635124905374716,0.0,0.06813020439061318,0.2043906131718395
Adam Forshaw,224,0,0,78,0,62.0,0.65,0.68,0.03,11.94,13,0,11.3,49.599999999999994,473,0,0,0,0,0,4356.0,5,0.0,16,5154,8732,0,12,£4.5,£4.4,£-0.1,-3578,5.2555555555555555,0.12367864693446089,0.12938689217758986,0.005708245243128964,2.271881606765328,0.0,2.473572938689218,0.0,0.0,0.0
Adam Lallana,101,1,4,146,5,186.7,1.22,2.1,0.88,10.59,10,2,48.5,144.2,717,0,0,0,0,0,12730.0,12,152.0,47,35004,43834,0,16,£5.0,£4.8,£-0.2,-8830,7.966666666666667,0.15313807531380752,0.26359832635983266,0.11046025104602511,1.3292887029288702,0.2510460251046025,1.2552301255230125,0.0,0.12552301255230125,0.502092050209205
Adam Smith,57,1,5,400,7,261.6,1.57,2.0700000000000003,0.5,54.01,58,0,75.7,406.2,2940,0,0,0,0,0,20618.0,34,88.0,74,71422,69103,11,37,£4.5,£4.3,£-0.2,2319,32.666666666666664,0.048061224489795926,0.06336734693877552,0.015306122448979593,1.6533673469387755,0.0,1.7755102040816328,0.0,0.030612244897959186,0.15306122448979592
Adam Webster,108,0,3,405,9,104.0,0.45,2.17,1.72,25.8,27,0,58.4,354.0,1983,1,0,0,0,0,60874.0,23,126.0,75,243821,213381,2,27,£4.5,£4.5,£0.0,30440,22.033333333333335,0.02042360060514372,0.09848714069591527,0.07806354009077156,1.1709531013615733,0.0,1.2254160363086233,0.0,0.0,0.1361573373676248
