player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,Involved
Aaron_Cresswell_457,457,1,8,439,6,632.9,2.85,3.21,0.36,32.82,32,0,113.0,411.6,2235,0,0,0,0,0,204686.8947368421,24,40,57,81.0,74,457672,564161,1818,3,28
Aaron_Hickey_510,510,3,2,310,5,119.8,0.58,0.96,0.38,28.13,30,0,44.2,223.6,1918,0,0,0,0,0,33476.97368421053,23,41,63,98.0,63,76845,77735,1874,7,26
Aaron_Ramsdale_15,15,0,9,664,14,0.0,0.02,0.02,0.0,42.31,43,0,76.2,761.4,3420,0,0,0,0,94,1273606.3157894737,38,60,71,0.0,143,1794560,2095664,1863,1,38
Aaron_Wan-Bissaka_341,341,0,3,308,8,221.9,0.91,2.1,1.1900000000000002,19.17,10,0,65.5,290.4,1432,0,0,0,0,0,81502.26315789473,16,32,69,143.0,67,601062,236479,1640,2,19
Abdoulaye_Doucouré_185,185,2,10,263,4,261.2,1.52,4.13,2.61,32.1,27,5,80.3,315.8,1527,0,0,0,1,0,9924.815789473685,17,45,46,229.0,76,40813,36905,2020,6,25
Adam_Armstrong_408,408,1,3,161,1,148.8,0.75,2.98,2.23,24.77,24,2,55.6,142.0,1321,0,0,0,0,0,96519.15789473684,14,54,55,275.0,54,262428,290974,2061,2,30
Adam_Forshaw_224,224,0,0,78,0,62.0,0.65,0.68,0.03,11.94,13,0,11.3,49.599999999999994,473,0,0,0,0,0,4356.210526315789,5,59,67,0.0,16,5154,8732,1680,0,12
Adam_Lallana_101,101,1,4,146,5,186.7,1.22,2.1,0.88,10.59,10,2,48.5,144.2,717,0,0,0,0,0,12729.684210526315,12,56,69,152.0,47,35004,43834,1851,0,16
Adam_Smith_57,57,1,5,400,7,261.6,1.57,2.0700000000000003,0.5,54.01,58,0,75.7,406.2,2940,0,0,0,0,0,20617.552631578947,34,45,63,88.0,74,71422,69103,1658,11,37
Adam_Webster_108,108,0,3,405,9,104.0,0.45,2.17,1.72,25.8,27,0,58.4,354.0,1983,1,0,0,0,0,60873.71052631579,23,56,69,126.0,75,243821,213381,1710,2,27
Adama_Traoré Diarra_491,491,4,0,228,2,370.0,3.2199999999999998,4.6,1.3800000000000001,29.490000000000002,30,2,87.9,253.6,1477,0,0,0,0,0,27132.105263157893,12,32,57,258.0,66,75566,70246,2067,2,34
Adrián_San Miguel del Castillo_497,497,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,72915.3947368421,0,46,76,0.0,0,61274,78900,1479,0,0
Ainsley_Maitland-Niles_21,21,1,0,202,3,159.20000000000002,0.76,0.78,0.02,22.2,31,0,46.0,280.2,1400,0,0,0,0,0,4889.3421052631575,13,56,54,23.0,38,5314,9089,1829,3,22
Albert_Sambi Lokonga_18,18,0,0,129,2,57.2,0.18,0.35,0.17,8.120000000000001,8,0,17.6,98.4,728,0,0,0,0,0,26660.45945945946,8,49,56,20.0,23,34413,48310,1606,2,15
Alejandro_Garnacho_569,569,2,0,81,0,58.5,0.9500000000000001,3.92,2.97,8.02,13,3,47.9,153.79999999999998,557,0,0,0,0,0,61586.73684210526,5,32,69,266.0,39,505030,275124,1617,3,19
Aleksandar_Mitrović_210,210,2,14,324,7,216.5,1.31,16.62,15.31,35.7,30,14,193.1,584.8,2010,0,4,0,0,0,2227873.8157894737,23,53,55,1141.0,107,8480425,7579097,2573,7,24
Alex_Iwobi_186,186,8,9,563,9,917.7,4.3100000000000005,6.87,2.56,66.42,56,2,196.7,682.4,3379,0,0,0,0,0,119391.15789473684,38,45,46,366.0,126,913064,580408,2028,2,38
Alex_McCarthy_401,401,0,0,83,0,0.0,0.0,0.0,0.0,15.16,17,0,8.4,84.2,540,0,0,0,0,14,18989.42105263158,6,54,55,0.0,8,8226,23641,1644,0,6
Alex_Mighten_395,395,0,0,1,0,0.3,0.0,0.0,0.0,0.23,0,0,0.0,0.0,7,0,0,0,0,0,1349.7105263157894,0,35,71,0.0,1,414,2518,1864,0,1
Alex_Oxlade-Chamberlain_278,278,0,2,57,0,66.3,0.18,1.45,1.27,6.64,7,1,22.3,72.4,332,0,0,0,0,0,1602.2894736842106,4,46,76,84.0,20,5069,5534,1865,0,9
Alex_Robertson_772,772,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7.333333333333333,0,1,3,0.0,0,14,1,135,0,0
Alex_Smithies_581,581,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,5384.333333333333,0,51,58,0.0,0,9262,8065,1424,0,0
Alex_Telles_334,334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2518.1052631578946,0,32,69,0.0,0,0,6396,1900,0,0
Alexander_Isak_594,594,2,18,353,4,244.1,1.3699999999999999,9.48,8.11,18.67,20,10,141.1,475.0,1520,0,0,0,0,0,523678.6,17,43,50,693.0,100,4148930,1921838,2369,3,22
Alexandre_Moreno Lopera_694,694,3,5,278,7,321.1,2.57,3.16,0.59,17.83,10,0,72.3,254.4,1325,0,0,0,0,0,142696.05,14,22,29,151.0,72,479795,228510,891,3,19
Alexis_Mac Allister_116,116,2,18,567,10,729.6,4.27,16.32,12.05,40.48,45,10,217.8,741.0,2882,1,0,0,0,0,662816.6052631579,31,56,69,706.0,140,4675372,1746724,2093,8,35
Alfie_Devine_452,452,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9362.894736842105,0,58,75,0.0,0,8346,12829,1651,0,0
Alfie_Gilchrist_775,775,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,29.666666666666668,0,2,6,0.0,0,72,5,120,0,0
Alisson_Ramses Becker_281,281,1,15,824,14,10.1,0.02,0.02,0.0,50.02,43,0,97.6,966.4,3330,0,0,1,0,107,1662512.2368421052,37,46,76,0.0,162,2464617,2276182,2064,1,37
Allan_Marques Loureiro_183,183,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7300.0526315789475,0,45,46,0.0,0,4287,15524,1831,0,0
Allan_Saint-Maximin_368,368,6,4,240,4,344.1,2.59,4.1899999999999995,1.6,13.91,14,1,98.2,266.4,1109,0,0,0,0,0,452712.55263157893,12,46,55,370.0,66,1081082,1495419,2364,1,25
